SECURITY,SHARES,FAIR VALUE ($),COST ($)
DOMESTIC COMMON STOCKS,,,
ACADIA REALTY TRUST,20430,754690,712846
AGILENT TECHNOLOGIES INC,42387,1991332,1591587
ALBEMARLE CORP,23101,1847419,1246038
ALEXANDRIA REAL ESTATE,11754,1293998,1115511
ALPHABET INC,8123,6331086,2472669
AMERICAN CAMPUS COMMUNITIES INC,12573,630033,565156
AMERICAN CAPITAL AGENCY CORP,5320,102736,114592
AMERICAN EXPRESS CO,4266,279795,267942
AMERICAN HOMES 4 RENT,63236,1382971,1188259
AMERICAN TOWER CORP,15191,1722376,1501440
ANADARKO PETROLEUM CORP,101356,5419481,8065060
ANALOG DEVICES INC,65799,4116410,2417618
ANTERO MIDSTREAM PARTNERS LP,206662,5695606,4453705
ANTERO RESOURCES CORP,76363,1951841,2891660
APACHE CORP,82869,4118605,6925811
APARTMENT INVESTMENT & MANAGEMENT CO,41241,1863268,1216015
ASBURY AUTOMOTIVE GROUP INC,102012,5480106,6185918
ATWOOD OCEANICS INC,73618,581581,646629
AUTODESK INC,792731,53430102,32105401
AUTONATION INC,82728,3917166,3819826
AVALONBAY COMMUNITIES INC,14140,2474681,1956373
BAKER HUGHES INC,64148,3151574,3680609
BANK OF AMERICA CORP,32149,518879,425953
BERKSHIRE HATHAWAY INC,2168,1825508,1143825
BILL BARRETT CORP,324487,2154591,2008654
BOARDWALK PIPELINE PARTNERS LP,666315,10814297,9011718
BOSTON PROPERTIES INC,29063,4072663,3531587
BRANDYWINE REALTY TRUST,43983,709442,662432
BRISTOW GROUP INC,47867,546158,779695
BRIXMOR PROPERTY GROUP INC,101550,2900257,2659554
BROOKDALE SR LIVING INC,49608,853756,912475
BUCKEYE PARTNERS LP,89393,6280719,5457870
CABOT OIL & GAS CORP,115243,2838443,3703592
CALATLANTIC GROUP INC,189533,6916068,6179405
CALIFORNIA RESOURCES CORP,236576,2349204,2976368
CALLON PETROLEUM CO,414814,6035544,3077197
CAMDEN PROPERTY TRUST,40680,3570523,2985857
CARBO CERAMICS INC,81623,1022732,1534168
CARE CAPITAL PROPERTIES INC,25599,767719,820676
CARRIZO OIL & GAS INC,82004,3139930,3506528
CBL & ASSOCIATES PROPERTIES INC,89436,1276255,1548321
CBRE GROUP,80063,2393076,2311145
CHENIERE ENERGY INC,39772,1706201,1431841
CHENIERE ENERGY PARTNERS LP,137208,3699134,3507563
CHENIERE ENERGY PARTNERS LP HOLDINGS LLC,226836,4579818,4678063
CIMAREX ENERGY CO,55830,7379533,4701258
CLAYTON WILLIAMS ENERGY INC,213015,13443405,8507133
CME GROUP INC,24189,2620913,2143929
COLUMBIA PIPELINE PARTNERS LP,78734,1068426,1197126
CONCHO RESOURCES INC,7324,946219,725024
CONTANGO OIL & GAS CO,68711,663753,882627
COUSINS PROPERTIES INC,80079,882471,626379
CREDIT ACCEPTANCE CORP,3835,765725,351049
CUBESMART,28023,771473,469943
CVS HEALTH CORP,3759,351057,140176
CYRUSONE INC,17189,873872,686886
DDR CORP,54848,1037176,935520
DELEK LOGISTICS PARTNERS LP,78175,2039578,2381687
DEVON ENERGY CORP,156177,6767141,8047922
DEVRY EDUCATION GROUP INC,35500,817925,1150860
DIAMOND OFFSHORE DRILLING INC,25280,466931,508178
DIAMONDROCK HOSPITALITY CO,78435,830628,780095
DIGITAL REALTY TRUST INC,14872,1473666,1271510
DOMINION MIDSTREAM PARTNERS LP,50082,1275081,1558924
DOUGLAS EMMETT INC,28417,1067343,757342
DRIL-QUIP INC,43034,2391411,2922859
DUNKIN' BRANDS GROUP INC,100014,4895662,4970025
DUPONT FABROS TECHNOLOGY INC,17996,763030,738994
ECLIPSE RESOURCES CORP,25654,87480,198370
ECOLAB INC,28628,3522642,2246669
EDUCATION REALTY TRUST INC,13894,629537,494553
EMERSON ELECTRIC CO,3899,205386,188474
EMPIRE STATE REALTY TRUST INC,24943,535526,389222
ENERGEN CORP,106385,6117144,6862944
ENERGY TRANSFER EQUITY LP,131520,2354209,2127490
ENERGY TRANSFER PARNTERS LP,230172,9193066,8264692
ENTERPRISE PRODUCTS PARTNERS LP,445807,11769292,10974396
EOG RESOURCES INC,28951,2561886,1741508
EQT CORP,99970,7147874,6351865
EQT GP HOLDINGS LP,89422,2243606,2204113
EQT MIDSTREAM PARTNERS LP,131529,10339460,9540839
EQUINIX INC,5151,1898916,1339850
EQUITY COMMONWEALTH,23657,740221,685378
EQUITY RESIDENTIAL,140973,9144964,7676574
ESSEX PROPERTY TRUST INC,9153,2078646,2125482
ETFS PHYSICAL PLATINUM SHARES,2235,225106,296156
EXPEDIA INC,44450,4850407,5135444
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,8144,412475,317157
EXTENDED STAY AMERICA INC,14259,201765,242205
EXTRA SPACE STORAGE INC,11014,887178,1013526
FIDELITY NATIONAL INFORMATION SERVICES,70460,5589570,3204730
FLOTEK INDUSTRIES INC,171633,2660306,1924654
FLOWSERVE CORP,3682,178082,144548
FMC TECHNOLOGIES INC,78203,2205321,3536453
